회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
지더블유바이텍,036180,기계장비 및 관련 물품 도매업,"무선통신,방송및응용장치제조업",1999-12-21,12월,양재원,http://www.younginfrontier.com,서울특별시
클라우드에어,036170,반도체 제조업,LED패키지,1999-12-21,12월,하관호,http://www.cloud-air.co.kr,경기도
한국팩키지,037230,"골판지, 종이 상자 및 종이용기 제조업","카톤팩, 골판지 상자",1999-12-21,12월,"이명신, 이우진",http://www.hkpak.co.kr,경기도
삼지전자,037460,통신 및 방송 장비 제조업,"통신기기,정보기기,BACKLIGHTUNIT사업",1999-12-16,12월,"각자대표이사 박두진, 이태훈",http://www.samjielec.co.kr,경기도
우리엔터프라이즈,037400,상품 종합 도매업,"변환장치 제조업 백열전구, 형광등",1999-12-16,12월,황도연 단독대표이사,http://www.wooree.co.kr,경기도
네패스,033640,반도체 제조업,반도체및TFT-LCD용현상액,1999-12-14,12월,이병구,http://www.nepes.co.kr,충청북도
인지디스플레,037330,전자부품 제조업,"TFT-LCDCHASSIS,TFT-LCDLAMPREFLECTOR,ICLEADFRAME,TRLEADFRAME",1999-12-14,12월,"김용구,금수근,정구용,정혜승(각자대표이사)",http://www.inzidisplay.co.kr,경기도
위지트,036090,특수 목적용 기계 제조업,LCD 반도체,1999-12-10,12월,양승환,http://www.wizit.co.kr,인천광역시
유니셈,036200,특수 목적용 기계 제조업,반도체장비(DryGasScrubber),1999-12-10,12월,"김형균,이양구(각자대표)",http://www.unisem.co.kr,경기도
유성티엔에스,024800,육상 여객 운송업,"운송,C형강,차량정비",1999-12-10,12월,이명호(단독 대표이사),http://www.yoosungtns.co.kr,서울특별시
코리아나,027050,기타 화학제품 제조업,화장품,1999-12-10,12월,유학수,http://www.coreana.co.kr,충청남도
SCI평가정보,036120,기타 정보 서비스업,"신용조회,채권추심,신용조사",1999-12-07,12월,임동훈,http://www.sci.co.kr,서울특별시
골드앤에스,035290,"서적, 잡지 및 기타 인쇄물 출판업","방과후컴퓨터상설반,교재및CD",1999-12-07,12월,신승호,http://www.wfminc.co.kr,서울특별시
서울전자통신,027040,기계장비 및 관련 물품 도매업,"전자변성기, 무역업(트랜스포머자재)",1999-12-03,12월,호경근,http://www.seoulset.com,인천광역시
대성창투,027830,신탁업 및 집합투자업,투자서비스,1999-11-30,12월,"김영훈, 박근진 (각자대표이사)",http://www.daesungpe.com,서울특별시
예림당,036000,"서적, 잡지 및 기타 인쇄물 출판업",무선가입자망 단말기 및 차량용핸즈프리,1999-11-30,12월,나춘호,http://yearim.co.kr,서울특별시
CJ ENM,035760,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타",1999-11-23,12월,"Ho Sung Kang, Sang Hyun Yoon",http://www.cjmall.com,서울특별시
이지홀딩스,035810,동물용 사료 및 조제식품 제조업,지주회사,1999-11-23,12월,"지현욱,김충석(각자대표)",http://www.easyholdings.co.kr,서울특별시
기산텔레콤,035460,통신 및 방송 장비 제조업,"광모듈, 에코 켄슬러, 중계기, VoIP Server등",1999-11-18,12월,박병기,http://www.kisantel.co.kr,서울특별시
바른손이앤에이,035620,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화 및 콘텐츠 제작,1999-08-13,12월,"박진홍, 곽신애(각자대표)",http://www.barunsonena.com/,서울특별시
솔본,035610,회사 본부 및 경영 컨설팅 서비스업,경영자문 및 지주사업,1999-08-13,12월,홍 기 태,http://www.solborn.co.kr,서울특별시
시공테크,020710,전문디자인업,"박물관, 전시관, 엑스포, 특수영상",1999-08-13,12월,박기석,http://www.sigongtech.co.kr,경기도
